STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
202001,3.53401E+19,1000033.992,1732979.147,0.07,0.07,0.07,0.07,0.09,0.09,0.09
202001,3.53401E+19,1000033.992,1735079.147,0.07,0.07,0.05,0.07,0.05,0,0
202001,3.53401E+19,1000033.992,1735429.147,6.18,6.57,6.23,7.35,8.03,7.96,6.11
202001,3.53401E+19,1000033.992,1735629.147,0.18,0.18,0.18,0.18,0.21,0.23,0.21
202001,3.53401E+19,1000033.992,1735679.147,19.44,19.02,19.76,19.35,24.84,30.41,25
202001,3.53401E+19,1000033.992,1737779.147,0.02,0.02,0.02,0.02,0.02,0,0
202001,3.53401E+19,1000033.992,1738029.147,0.04,0.05,0.04,0.05,0.04,0,0
202001,3.53401E+19,1000033.992,1738279.147,429.39,442.74,446.71,460.75,529.11,643.11,555.4
202001,3.53401E+19,1000033.992,1738329.147,0.39,1.92,2.79,1.5,28.8,82.94,19.32
202001,3.53401E+19,1000033.992,1738379.147,14.51,14.69,14.2,15.17,15.7,15.79,15.5
202001,3.53401E+19,1000033.992,1738429.147,25.41,25.83,25.02,26.65,29.22,32.61,28.29
202001,3.53401E+19,1000033.992,1738479.147,0.04,0.18,0.25,0.14,2.37,6.78,1.57
202001,3.53401E+19,1000033.992,1738529.147,29.05,29.52,28.61,30.44,33.39,37.28,32.33
202001,3.53401E+19,1000033.992,1738979.147,3.16,3.2,2.98,3.3,3.27,2.81,2.75
202001,3.53401E+19,1000033.992,1739029.147,4.66,4.71,4.43,4.87,4.86,4.31,4.24
202001,3.53401E+19,1000033.992,1739079.147,6.46,6.55,6.16,6.76,6.78,6.13,6.02
202001,3.53401E+19,1000033.992,1739179.147,10.9,11.02,10.44,11.39,11.5,10.51,10.31
202001,3.53401E+19,1000033.992,1741179.147,0.11,0.07,0.11,0.14,0.11,0.19,0.11
202001,3.53403E+19,1000033.992,1747779.147,0.55,0.58,0.69,0.72,1.08,1.45,1.09
202001,3.53403E+19,1000033.992,1747829.147,0.57,0.62,0.71,0.76,1.09,1.45,1.09
202001,3.53201E+19,1000033.992,1752329.147,0.3,0.26,0.25,0.32,0.35,0.3,0.25
202001,3.53201E+19,1000033.992,1752479.147,1.48,1.38,1.36,1.55,1.8,2.14,1.77
202001,3.53201E+19,1000033.992,1752529.147,1.34,1.25,1.24,1.43,1.66,2,1.64
